product_id,product name,category,price
52,Politics Sports,Clothing,465.28
42,Continue Clothing,Home & Kitchen,111.14
8,Laugh Home & Kitchen,Books,137
97,Many Electronics,Sports,498.51
40,Action Electronics,Electronics,383.5
12,Size Home & Kitchen,Home & Kitchen,26.71
18,Million Sports,Clothing,481.52
71,Thus Electronics,Sports,455.37
88,Property Sports,Electronics,496.97
19,Very Books,Electronics,25
91,Scientist Books,Clothing,49.53
32,Yard Electronics,Clothing,23.73
100,List Clothing,Books,497.44
35,Action Clothing,Electronics,375.61
41,Test Electronics,Books,481.84
71,Organization Home & Kitchen,Sports,87.92
94,Question Electronics,Electronics,458.61
49,Environment Sports,Sports,131.61
32,Join Sports,Sports,489.72
57,Doctor Books,Electronics,215.9
40,Your Sports,Home & Kitchen,145.93
19,Seven Sports,Sports,189.11
25,Discussion Clothing,Clothing,217.63
1,Establish Sports,Clothing,419.23
74,Scene Clothing,Books,142.35
86,Between Electronics,Clothing,266.14
80,Four Home & Kitchen,Electronics,24.02
69,History Home & Kitchen,Electronics,278.14
16,Trouble Home & Kitchen,Books,12.69
19,Already Home & Kitchen,Books,374.63
15,Perhaps Electronics,Electronics,207.31
97,Rule Home & Kitchen,Electronics,343.7
91,Then Home & Kitchen,Books,90.61
99,Attention Home & Kitchen,Books,37.3
71,After Books,Sports,82.83
90,Common Books,Books,363.35
45,Training Home & Kitchen,Books,486.35
41,Newspaper Electronics,Home & Kitchen,459.23
1,Trial Electronics,Electronics,34.22
17,Bit Sports,Sports,325.02
14,Person Sports,Electronics,414.39
95,Property Electronics,Books,281.67
51,Science Books,Electronics,214.14
38,Accept Clothing,Books,156.75
67,Near Books,Home & Kitchen,116.55
96,Entire Clothing,Electronics,393.53
41,Choose Clothing,Clothing,456.22
55,The Sports,Home & Kitchen,354.41
3,Choose Electronics,Books,341.67
24,Four Books,Sports,246.03
35,Partner Clothing,Sports,381.88
58,Think Books,Home & Kitchen,384.29
14,One Books,Home & Kitchen,227.23
20,Anyone Sports,Clothing,245.59
32,Late Clothing,Home & Kitchen,372.83
66,General Clothing,Sports,101.48
29,Recognize Electronics,Electronics,93.91
13,Main Sports,Clothing,201.54
7,Table Home & Kitchen,Electronics,468.61
17,Address Sports,Books,442.66
99,Pretty Electronics,Books,175.72
47,Relationship Home & Kitchen,Electronics,283.56
24,Tough Sports,Home & Kitchen,365.29
71,Whom Home & Kitchen,Books,322.03
65,Pass Clothing,Clothing,211.82
30,Hundred Home & Kitchen,Sports,493.94
72,Remember Books,Books,243.18
36,Card Books,Sports,459.2
16,Old Books,Clothing,18.25
23,All Home & Kitchen,Clothing,272.48
46,Customer Clothing,Sports,331.94
21,Get Home & Kitchen,Clothing,437.87
20,Pattern Books,Electronics,206.99
46,Cultural Home & Kitchen,Home & Kitchen,176.96
68,Sit Electronics,Electronics,32.62
44,Technology Books,Home & Kitchen,146.96
93,Nor Clothing,Home & Kitchen,196.85
95,Republican Sports,Home & Kitchen,271.12
98,Guess Electronics,Sports,58.75
2,Knowledge Electronics,Home & Kitchen,223.29
30,Right Books,Home & Kitchen,5.54
30,International Electronics,Electronics,77.25
1,Film Clothing,Clothing,231.85
11,Usually Electronics,Home & Kitchen,497.66
32,Industry Electronics,Sports,235.63
47,Parent Clothing,Sports,184.42
48,Away Books,Electronics,305.99
69,Training Electronics,Home & Kitchen,54.82
53,Out Books,Sports,62.27
77,Really Electronics,Books,358.5
51,Down Home & Kitchen,Electronics,128.42
52,Industry Electronics,Home & Kitchen,268.01
28,Participant Sports,Clothing,450.18
56,Tend Sports,Home & Kitchen,269.96
17,Senior Home & Kitchen,Electronics,472.03
93,Need Electronics,Electronics,235.69
13,Threat Electronics,Sports,79.15
72,Help Home & Kitchen,Sports,94.22
84,Its Home & Kitchen,Sports,29.51
100,Food Sports,Books,377.31
