order_id,shipment_id,delivery_date,shipping_cost
1660,5313,2023-01-05,40
1142,5737,2023-01-06,65
1464,5531,2023-01-07,94
1612,5429,2023-01-08,33
1416,5276,2023-01-09,60
1039,5689,2023-01-10,22
1131,5594,2023-01-11,79
1137,5774,2023-01-12,23
1661,5737,2023-01-13,97
1498,5460,2023-01-14,79
1987,5084,2023-01-15,84
1015,5758,2023-01-16,72
1911,5379,2023-01-17,45
1066,5339,2023-01-18,62
1619,5602,2023-01-19,85
1583,5491,2023-01-20,10
1690,5673,2023-01-21,68
1894,5149,2023-01-22,17
1712,5133,2023-01-23,32
1031,5673,2023-01-24,84
1630,5160,2023-01-25,45
1154,5442,2023-01-26,78
1244,5462,2023-01-27,63
1164,5598,2023-01-28,7
1341,5722,2023-01-29,65
1848,5316,2023-01-30,47
1994,5270,2023-01-31,41
1872,5694,2023-02-01,70
1394,5574,2023-02-02,61
1355,5620,2023-02-03,52
1153,5107,2023-02-04,29
1279,5202,2023-02-05,7
1695,5376,2023-02-06,76
1476,5340,2023-02-07,95
1725,5150,2023-02-08,20
1943,5769,2023-02-09,22
1648,5568,2023-02-10,30
1348,5544,2023-02-11,66
1262,5080,2023-02-12,29
1311,5200,2023-02-13,92
1550,5303,2023-02-14,15
1382,5435,2023-02-15,93
1562,5251,2023-02-16,44
1852,5542,2023-02-17,59
1754,5691,2023-02-18,91
1257,5321,2023-02-19,32
1328,5683,2023-02-20,93
1300,5360,2023-02-21,60
1923,5649,2023-02-22,92
1024,5262,2023-02-23,8
1696,5180,2023-02-24,57
1284,5664,2023-02-25,51
1615,5180,2023-02-26,30
1167,5330,2023-02-27,82
1082,5303,2023-02-28,66
1821,5051,2023-03-01,64
1463,5664,2023-03-02,81
1404,5299,2023-03-03,51
1625,5690,2023-03-04,31
1114,5656,2023-03-05,11
1765,5764,2023-03-06,94
1481,5173,2023-03-07,14
1366,5615,2023-03-08,85
1783,5146,2023-03-09,62
1558,5789,2023-03-10,63
1291,5330,2023-03-11,68
1959,5765,2023-03-12,74
1772,5188,2023-03-13,82
1320,5594,2023-03-14,38
1726,5392,2023-03-15,96
1896,5132,2023-03-16,81
1148,5413,2023-03-17,79
1360,5323,2023-03-18,65
1497,5663,2023-03-19,61
1252,5336,2023-03-20,75
1052,5013,2023-03-21,6
1653,5218,2023-03-22,69
1560,5516,2023-03-23,87
1817,5797,2023-03-24,48
1124,5108,2023-03-25,66
1553,5368,2023-03-26,42
1935,5760,2023-03-27,70
1889,5777,2023-03-28,12
1503,5790,2023-03-29,44
1755,5351,2023-03-30,84
1089,5273,2023-03-31,31
